,Time,Correlation
115,17:31:08,1.9053750038146973
72,17:31:08,1.9053750038146973
29,17:31:08,1.9053750038146973
78,16:38:40,1.818197250366211
35,16:38:40,1.818197250366211
121,16:38:40,1.818197250366211
55,17:06:16,1.4855904579162598
98,17:06:16,1.4855904579162598
12,17:06:16,1.4855904579162598
128,18:15:18,1.3153842687606812
42,18:15:18,1.3153842687606812
85,18:15:18,1.3153842687606812
123,17:07:28,1.308565378189087
37,17:07:28,1.308565378189087
80,17:07:28,1.308565378189087
41,16:43:15,1.191582441329956
84,16:43:15,1.191582441329956
127,16:43:15,1.191582441329956
70,16:32:55,1.1430214643478394
113,16:32:55,1.1430214643478394
27,16:32:55,1.1430214643478394
73,17:43:34,1.0935664176940918
116,17:43:34,1.0935664176940918
30,17:43:34,1.0935664176940918
13,17:53:02,1.0726065635681152
56,17:53:02,1.0726065635681152
99,17:53:02,1.0726065635681152
107,17:09:43,1.0420831441879272
64,17:09:43,1.0420831441879272
21,17:09:43,1.0420831441879272
7,16:36:20,1.0209851264953613
50,16:36:20,1.0209851264953613
93,16:36:20,1.0209851264953613
92,18:10:22,0.9882115721702576
6,18:10:22,0.9882115721702576
49,18:10:22,0.9882115721702576
5,16:48:52,0.9691298007965088
91,16:48:52,0.9691298007965088
48,16:48:52,0.9691298007965088
58,18:06:43,0.9164683222770691
15,18:06:43,0.9164683222770691
101,18:06:43,0.9164683222770691
44,17:13:05,0.8551565408706665
1,17:13:05,0.8551565408706665
87,17:13:05,0.8551565408706665
100,16:53:48,0.8339608907699585
57,16:53:48,0.8339608907699585
14,16:53:48,0.8339608907699585
79,16:25:26,0.8296414613723755
36,16:25:26,0.8296414613723755
122,16:25:26,0.8296414613723755
97,17:41:55,0.814501941204071
11,17:41:55,0.814501941204071
54,17:41:55,0.814501941204071
110,18:00:13,0.8096457719802856
24,18:00:13,0.8096457719802856
67,18:00:13,0.8096457719802856
112,18:13:15,0.8091431260108948
26,18:13:15,0.8091431260108948
69,18:13:15,0.8091431260108948
114,16:17:57,0.8076891303062439
71,16:17:57,0.8076891303062439
28,16:17:57,0.8076891303062439
96,17:17:20,0.8054922223091125
10,17:17:20,0.8054922223091125
53,17:17:20,0.8054922223091125
125,16:55:28,0.7978986501693726
82,16:55:28,0.7978986501693726
39,16:55:28,0.7978986501693726
46,17:01:22,0.7941554188728333
89,17:01:22,0.7941554188728333
3,17:01:22,0.7941554188728333
83,18:04:07,0.7939672470092773
126,18:04:07,0.7939672470092773
40,18:04:07,0.7939672470092773
38,17:49:40,0.7698764204978943
124,17:49:40,0.7698764204978943
81,17:49:40,0.7698764204978943
117,17:03:40,0.7196412682533264
74,17:03:40,0.7196412682533264
31,17:03:40,0.7196412682533264
45,17:45:46,0.7118353247642517
88,17:45:46,0.7118353247642517
2,17:45:46,0.7118353247642517
111,16:46:02,0.703174352645874
25,16:46:02,0.703174352645874
68,16:46:02,0.703174352645874
23,16:58:58,0.693671703338623
66,16:58:58,0.693671703338623
109,16:58:58,0.693671703338623
120,18:09:34,0.6842555403709412
77,18:09:34,0.6842555403709412
34,18:09:34,0.6842555403709412
61,16:21:58,0.6796332597732544
104,16:21:58,0.6796332597732544
18,16:21:58,0.6796332597732544
108,17:47:54,0.679059624671936
22,17:47:54,0.679059624671936
65,17:47:54,0.679059624671936
118,17:55:47,0.6350745558738708
32,17:55:47,0.6350745558738708
75,17:55:47,0.6350745558738708
9,17:27:22,0.6285170316696167
95,17:27:22,0.6285170316696167
52,17:27:22,0.6285170316696167
62,17:22:44,0.6225384473800659
105,17:22:44,0.6225384473800659
19,17:22:44,0.6225384473800659
33,16:51:41,0.6076514720916748
76,16:51:41,0.6076514720916748
119,16:51:41,0.6076514720916748
63,17:36:20,0.5936467051506042
106,17:36:20,0.5936467051506042
20,17:36:20,0.5936467051506042
16,16:40:04,0.5774692296981812
102,16:40:04,0.5774692296981812
59,16:40:04,0.5774692296981812
103,16:27:21,0.567845344543457
60,16:27:21,0.567845344543457
17,16:27:21,0.567845344543457
90,17:58:15,0.5399442315101624
47,17:58:15,0.5399442315101624
4,17:58:15,0.5399442315101624
86,17:32:46,0.5300899147987366
0,17:32:46,0.5300899147987366
43,17:32:46,0.5300899147987366
51,16:24:17,0.5263113379478455
94,16:24:17,0.5263113379478455
8,16:24:17,0.5263113379478455
